Deutsch;Englisch;Daari;Ukrainisch;arabisch
ausfüllen;to fill out;پر کن;заповнити;املأ
heißen;to be named;نامیده شود;називатися;يمكن استدعاؤه
unterschreiben  ;to sign;علامت بزنید;знак;لافتة
heiraten;to marry;ازدواج کن;одружуватися;الزواج
besuchen;to visit;بازدید کنید;відвідати;يزور
grüßen;to greet;سلام کردن;вітати;تحية
gratulieren;to congratulate;تبریک گفتن;привітати;تهنئة
danken;to thank;تشکر;дякую;شكر
kommen;to come;بیا;прийти;يأتي
helfen;to help;کمک کند;допомогти;يساعد
verstehen;to understand;درک کنند;зрозуміти;يفهم
sprechen;to speak;صحبت کنید;говорити;يتكلم
aufschreiben;to write down;یادداشت کنید;запишіть;اكتب
entschuldigen;to apologize;بهانه;вибачте;عذر
kennenlernen;to get to know;آشنا شوید;познайомитися;تعرف على
sein;to be;باشد;бути;يكون
sich vorstellen;to introduce oneself;تصور کنید;уявіть собі;يتصور
wohnen;to live in;ساکن;проживати;يقيم
haben;to have;دارند;мати;يملك
sagen;to say;بگو;сказати;يقول
männlich;male;مردانه;чоловічого роду;مذكر
weiblich;female;زن;жіноча;أنثى
ledig;single;مجرد;неодружений;أعزب
verheiratet;married;متاهل;одружений;متزوج
geschieden;divorced;طلاق گرفته;розлучений;مُطلّق
verwitwet;widowed;بیوه;овдовіла;أرمل
gut;good;خوب;добре;جيد
schlecht;bad;بد;погано;سيء
privat;privat;خصوصی;приватний;خاص
deutsch;german;آلمانی;Німецький;الألمانية
ein bisschen;a little;کمی;трохи;قليلا
schön;nice;خوب;приємно;لطيف - جيد
Hallo;hello;سلام;Привіт;مرحبًا
Guten Tag;good day;روز بخیر;добрий день;يوم جيد
Herzlichen Glückwunsch;congratulations;تبریک میگم;Вітаю;تهانينا
bitte;please;لطفا;будь ласка;لو سمحت
danke;thank you;با تشکر;дякую;شكرًا
Auf Wiedersehen;good bye;خداحافظ;до побачення;مع السلامة
tschüss;bye;خداحافظ;до побачення;الوداع
ja;yes;بله;так;نعم
nein;no;نه;немає;لا
Entschuldigung;sorry;ببخشید;вибач мене;اعذرني
willkommen;welcome;خوش آمدید;Ласкаво просимо;مرحباً
auch;too;همچنین;також;أيضًا
und;and;و;і;و
wer;who;سازمان بهداشت جهانی;ВООЗ;من
was;what;چی;Що;ماذا
woher;where;از کجا;звідки;من أين
welche;which;که;який;أيّ
wie;how;چگونه;як;كيف
die Adresse;the address;آدرس;адресу;العنوان
der Name;the name;نام;ім'я;الاسم
der Vorname;the first name;نام اول;ім'я;الاسم الأول
der Familienname;the second name;نام خانوادگی;прізвище;اسم العائلة
die Straße;the street;خیابان;вулиця;الشارع
die Hausnummer;the street number;شماره خانه;номер будинку;رقم المنزل
der Ort;the place;مکان;місце;المكان
die Postleitzahl;postal code;کد پستی;поштовий індекс;الرمز البريدي
der Geburtsort;place of birth;محل تولد;місце народження;مكان الميلاد
das Geburtsjahr;year of birth;سال تولد;рік народження;سنة الميلاد
das Geburtsdatum;date of birth;تاریخ تولد;дата народження;تاريخ الميلاد
das Formular;the form;فرم;форму;النموذج
das Alter;the age;سن;вік;العمر
die Unterschrift;the signature;امضا;підпис;التوقيع
der Familienstand;the marital status;وضعیت تاهل;сімейний стан;الحالة الاجتماعية
die Papiere;the papers;اوراق;документи;الأوراق
der Ausweis;the ID-Card;کارت شناسایی;посвідчення особи;بطاقة الهوية
der Pass;the passport;پاسپورت;паспорт;جواز السفر
der Geburtstag;the birthday;روز تولد;день народження;عيد الميلاد
die Einladung;the invitation;دعوت نامه;запрошення;الدعوة
die Torte;the pie;کیک;торт;الكعكة
das Geschenk;the present;هدیه;подарунок;الهدية
der Gast;the guest;مهمان;гість;الضيف
die Frau;the woman;زن;жінка;المرأة
der Mann;the man;مرد;чоловік;الرجل
der Junge;the boy;جوان;молоді;الشباب
das Mädchen;the girl;دختر;дівчина;الفتاة
das Kind;the child;کودک;дитина;الطفل
die Handynummer;the cellphone number;شماره تلفن همراه;номер мобільного телефону;رقم الهاتف الخليوي
die Nummer;the number;شماره;номер;الرقم
das Alphabet;the alphabet;الفبا;алфавіт;الأبجدية
der Artikel;the article;مقاله;стаття;المقال
die Person;the person;شخص;людина;الشخص
die Sprache;the language;زبان;мова;اللغة
die Dame;the lady;خانم;леді;السيدة
Deutschland;Germany;آلمان;Німеччина;ألمانيا
ich;i;من;я;أنا
du;You – informal - singular;شما;ви;أنت
er;he;او;він;هو
